time,IsiAN
0.000000,10.000000
1.428571,1000.000000
2.857143,1000.000000
4.285714,1000.000000
5.714286,1000.000000
7.142857,nan
8.571429,nan
10.000000,nan
11.428571,nan
12.857143,nan
14.285714,nan
15.714286,nan
17.142857,nan
18.571429,nan
20.000000,nan
21.428571,nan
22.857143,nan
24.285714,nan
25.714286,nan
27.142857,nan
28.571429,nan
30.000000,nan
31.428571,nan
32.857143,nan
34.285714,nan
35.714286,nan
37.142857,nan
38.571429,nan
40.000000,nan
41.428571,nan
42.857143,nan
44.285714,nan
45.714286,nan
47.142857,nan
48.571429,nan
50.000000,nan
